V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0433,-4.2155,-14.576,-15.834,219.16,50.68,-2.3934,9.0549,1.9816,1.2202,4.0698,16.776,16.458,7.6029,4.6165,3.1819,1.2152,5.8941,2.0124,7.1195,7.8151,16.184,6.3712,100.67
1.045,1.07,1.042,-4.9625,-17.63,-19.981,257.81,61.553,-2.8238,8.8499,1.3436,-0.90844,-1.8045,38.08,14.895,5.4481,3.397,0.85318,1.9317,7.7663,1.92,12.56,7.0251,16.872,5.7368,174.04
1.045,1.07,1.0364,-4.0919,-15.628,-16.792,213.3,22.686,-4.3438,8.0541,1.7932,-0.62775,2.3395,28.124,21.007,8.2214,6.9082,4.6413,1.6229,8.7877,1.3553,20.442,7.2234,11.442,5.6327,93.595
1.045,1.07,1.0399,-4.6876,-16.905,-18.975,243.85,49.735,-5.5813,8.9699,1.1043,0.27738,-0.41474,33.433,17.294,8.4463,4.0726,2.7124,1.7875,4.3547,1.7065,16.994,10.186,13.882,4.3296,238.64
1.045,1.07,1.055,-4.2994,-15.126,-16.76,223.79,47.44,-3.8937,8.2392,1.5828,0.23074,0.6625,22.844,6.5628,8.5273,5.3119,3.4778,1.6029,5.8423,2.169,11.24,6.5473,13.914,6.7714,126.85
1.045,1.07,1.0421,-3.7977,-13.673,-15.421,197.76,23.838,-4.396,6.0845,1.0538,0.73035,0.27358,30.943,19.776,9.0866,5.8809,3.0444,1.898,3.2095,1.2077,11.242,7.1894,10.472,5.2871,106.37
1.045,1.07,1.0519,-3.911,-13.842,-15.829,203.42,34.897,-4.0976,2.1144,1.3637,-1.7972,-1.2495,38.757,13.114,4.7927,6.0613,2.6542,1.6503,3.5962,1.3708,13.341,7.9431,5.4018,2.5781,134.61
1.045,1.07,1.0414,-4.1577,-14.335,-15.555,216.05,54.072,-3.8418,5.454,1.2589,-0.66291,0.031689,22.027,22.218,1.7627,5.3843,2.9694,1.6222,5.2411,1.9151,10.126,6.0773,13.943,4.5798,174.01
1.045,1.07,1.0325,-4.9446,-18.007,-19.448,256.91,62.348,-3.3344,8.0608,1.126,-0.37654,0.10916,23.572,23.334,12.116,4.009,3.8487,1.7347,8.616,1.7848,18.597,8.3732,13.191,5.0898,149.64
1.045,1.07,1.0349,-4.7197,-17.388,-19.817,245.2,44.815,-3.7159,4.9546,2.3678,0.18873,0.80875,36.743,15.951,11.698,6.8683,2.9313,1.9798,5.4259,1.2699,14.077,7.65,18.929,5.9395,156.69
1.045,1.07,1.0481,-4.1926,-15.565,-17.848,218.58,20.252,-3.2666,10.583,1.8127,0.62575,0.37881,39.755,8.6115,9.921,7.8541,2.7667,2.2841,6.3568,1.5739,13.633,6.6408,13.126,5.4087,131.86
1.045,1.07,1.0487,-4.6969,-16.028,-17.795,244.02,67.851,-2.8391,9.6274,1.916,0.32472,-0.96605,19.674,10.444,7.6331,6.7118,1.9318,1.503,5.4688,1.5821,6.9241,5.7004,20.016,6.1024,188.89
1.045,1.07,1.0354,-4.3857,-15.873,-17.2,227.99,49.123,-5.2031,5.1004,2.4467,-1.0304,-0.33507,30.045,22.421,0.87357,6.5799,4.1416,1.8078,7.6979,1.3619,16.343,6.6504,12.705,6.353,212.12
1.045,1.07,1.0373,-5.2807,-19.269,-21.355,274.25,64.113,-2.1385,10.32,2.3111,1.0483,0.28213,30.692,15.198,9.7609,5.9142,5.044,1.3462,5.7788,1.6634,21.486,4.9887,16.415,4.8536,173.21
