V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0474,-4.508,-16.018,-17.365,234.6,54.543,-5.6505,9.0286,1.7015,-0.25202,0.68913,22.886,13.152,9.3422,4.9034,5.3817,1.6026,6.507,1.8821,15.858,7.5011,7.9216,6.5357,27.183
1.045,1.07,1.0343,-5.0539,-18.066,-20.047,262.45,66.894,-4.9701,8.1261,1.512,-0.088628,0.41022,30.223,20.451,8.1959,5.2095,3.9804,1.8516,4.7676,1.6353,17.374,6.2598,15.411,4.705,44.262
1.045,1.07,1.0385,-4.2503,-15.978,-18.154,221.24,25.86,-4.5314,4.8611,1.4517,0.017513,1.6579,39.897,18.082,7.7821,6.4316,3.9188,2.2109,10.378,1.8213,8.3682,7.1145,18.157,4.0838,10.927
1.045,1.07,1.0374,-4.3565,-16.224,-18.271,226.68,32.741,-4.8136,4.8602,1.5038,1.7264,-0.3426,31.431,18.665,11.08,6.7406,3.1339,1.642,6.569,1.03,13.187,7.7192,18.975,4.9848,40.374
1.045,1.07,1.0481,-4.4151,-15.861,-17.794,229.74,43.302,-2.785,7.795,1.2753,0.51948,-0.67701,29.54,9.3572,7.7668,6.8555,3.8837,1.7424,6.3101,1.1521,10.8,8.7265,16.853,5.9926,35.41
1.045,1.07,1.0352,-4.4576,-16.688,-18.507,232.22,31.174,-4.1468,11.101,1.4075,-0.43342,0.24095,32.295,22.203,6.6876,5.8384,4.1294,1.574,3.8757,1.3834,20.893,4.9905,18.559,4.1025,21.053
1.045,1.07,1.0447,-5.0494,-18.495,-20.812,262.66,52.062,-3.4125,11.594,1.8703,0.53357,-1.2891,33.986,10.889,10.186,4.3581,4.0581,2.3437,8.4224,1.5283,14.446,7.5297,19.779,4.7384,20.625
1.045,1.07,1.0427,-4.1224,-14.361,-15.98,214.48,42.271,-3.1722,9.4482,1.5106,-0.70485,1.3085,27.176,19.883,3.198,5.4451,2.7933,1.8593,5.8946,1.3595,5.5944,4.2683,18.026,4.9053,32.097
1.045,1.07,1.0396,-4.8971,-17.535,-19.962,254.39,58.313,-4.3714,6.6935,1.4705,-0.60915,-1.5382,37.555,17.862,7.4347,2.5188,3.3429,2.2253,4.1379,1.1954,14.637,5.5547,16.539,6.1156,33.973
1.045,1.07,1.0436,-4.3018,-14.95,-16.465,223.5,54.732,-3.941,5.1975,2.2212,0.085595,-0.076785,23.864,18.19,8.6154,7.2603,2.2149,2.2606,5.2888,1.6574,11.857,6.2589,9.745,3.1173,24.057
1.045,1.07,1.0502,-4.3299,-14.998,-17.243,224.83,52.901,-3.1521,2.159,1.8335,-0.045405,0.2916,28.504,13.061,12.316,1.9548,1.9559,1.5307,1.7793,2.2071,9.5419,4.0059,13.542,6.2799,24.05
1.045,1.07,1.0351,-5.1366,-17.945,-20.26,266.67,71.202,-5.3678,10.426,1.7761,1.1021,-0.047282,33.552,17.711,10.323,5.5976,1.8003,2.6366,6.509,1.4091,10.069,6.6189,14.001,6.6002,27.672
