1.045,1.07,1.0326,-4.5536,-17.159,-18.333,237.1,39.905,-3.9764,9.4392,1.5159,0.033395,-0.056102,17.889,21.766,7.2422,7.2638,2.7999,1.801,6.4472,1.1556,22.518,7.6645,25.314,4.6806,-0.14013
1.045,1.07,1.0431,-3.8846,-14.402,-15.178,202.45,28.016,-3.9531,7.1018,2.0123,-0.10198,0.13019,12.687,19.141,10.557,5.9307,4.5625,1.8591,5.3494,2.1866,18.39,9.3461,15.52,4.5992,-0.31085
1.045,1.07,1.0565,-4.677,-16.479,-18.533,243.65,50.248,-4.1662,15.062,1.6203,-0.033572,0.018085,26.805,4.9355,8.842,3.7339,4.3956,2.7873,3.6345,1.1852,12.903,5.9587,17.298,5.2939,0.097124
1.045,1.07,1.0477,-4.1434,-14.886,-16.854,216,29.42,-6.182,11.987,2.5048,-0.089763,-0.19422,34.412,14.384,9.6557,4.8712,2.7301,1.0053,3.2831,1.3844,15.195,4.8078,8.3853,6.91,0.54967
1.045,1.07,1.0448,-4.9837,-17.694,-19.451,258.97,65.939,-2.8982,10.533,2.5023,0.038145,0.11203,22.649,11.209,7.4399,5.7517,2.2857,1.933,6.1426,1.2163,16.273,10.004,20.368,3.3745,-0.065063
1.045,1.07,1.0385,-4.5888,-15.872,-17.039,238.22,69.228,-3.8056,5.9568,2.1442,0.075326,0.13582,23.032,18.753,2.7858,8.4555,3.1002,1.396,8.3696,2.2751,12.459,8.0572,9.3339,5.2759,0.16788
1.045,1.07,1.0468,-3.9393,-14.184,-14.867,205.27,37.457,-5.9845,8.0928,2.3308,0.078347,-0.13425,10.47,19.2,6.7976,5.7202,5.3835,2.1374,7.691,0.82941,11.665,7.1089,17.503,4.3897,-0.16539
1.045,1.07,1.029,-5.1632,-19.165,-21.682,268.18,52.763,-3.6275,8.743,2.0941,-0.083069,0.07408,37.668,19.094,12.124,9.3948,5.2082,1.7427,5.8675,1.1226,16.221,3.1878,21.005,4.9124,0.035353
1.045,1.07,1.0305,-4.0867,-15.104,-17.018,212.62,26.38,-4.011,5.6712,1.8823,0.12207,0.020788,36.206,26.406,10.978,7.4977,4.4589,1.2951,5.6367,2.1212,10.943,7.6203,11.368,4.0743,-0.35787
1.045,1.07,1.0281,-5.3794,-19.826,-22.326,278.99,65.996,-3.6634,5.0564,2.209,0.020648,0.16706,36.112,21.162,9.0088,3.0028,3.9149,2.7639,6.8718,1.9514,16.816,6.6527,24.359,5.3773,0.17748
1.045,1.07,1.0393,-4.9815,-18.253,-20.318,258.89,56.304,-4.012,7.5095,1.8661,0.054204,-0.082341,31.618,18.15,11.079,5.3878,4.6995,2.2873,8.0038,1.0434,16.66,3.5535,15.994,3.3755,-0.0093412
1.045,1.07,1.0368,-5.0958,-18.808,-20.423,264.8,62.33,-4.8615,7.2282,1.8691,0.068977,0.015356,22.796,15.031,6.2992,8.1916,4.084,2.2872,8.3636,1.6203,20.366,4.3688,24.418,5.6825,0.29391
1.045,1.07,1.0526,-4.1771,-15.108,-16.455,217.47,41.749,-3.9975,4.9725,1.0427,-0.064927,-0.15061,16.709,14.304,13.263,6.4319,3.6927,2.7995,8.7057,0.45745,11.36,3.4367,15.763,1.6679,0.12832
1.045,1.07,1.0366,-4.9024,-17.602,-20.607,254.5,54.864,-6.3061,4.0422,1.8662,-0.037115,0.09062,48.354,16.783,8.4285,5.4782,2.0532,2.1301,6.23,1.012,8.8559,7.0577,15.532,4.3062,0.10858
1.045,1.07,1.0403,-4.6293,-16.773,-18.667,240.62,51.129,-3.8097,5.6999,1.4108,-0.105,0.21854,28.737,17.868,6.9596,5.6244,4.4212,1.8165,7.1157,1.5136,11.774,6.1956,20.358,3.9329,0.23731
1.045,1.07,1.0435,-4.6919,-16.571,-17.79,243.65,67.692,-3.319,5.0119,2.3172,-0.099398,0.054398,15.789,13.406,8.2405,8.6334,3.8095,1.5654,8.0856,0.98301,13.536,7.2226,16.677,5.4546,0.27283
