V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0509,-4.3169,-15.008,-16.821,224.39,52.289,-4.6144,4.9627,1.9041,1.7675,-0.041115,24.833,11.284,7.9517,4.9056,4.2684,2.2805,4.6822,1.4428,8.4116,6.5164,13.238,5.6679,46.777
1.045,1.07,1.0544,-4.487,-15.716,-17.676,233.39,54.549,-5.2908,6.5078,1.3497,-0.072468,-1.6448,21.582,10.834,9.9728,4.863,5.0194,1.4523,2.9418,1.549,9.4988,3.7975,20.123,3.5406,21.993
1.045,1.07,1.0479,-3.4837,-12.996,-13.972,181.97,8.0781,-5.532,9.5172,1.8571,1.0647,-0.021204,18.105,20.662,12.641,5.1703,3.1604,1.775,7.9967,2.0927,12.265,5.0728,11.595,4.3495,49.49
1.045,1.07,1.0277,-5.0699,-18.58,-21.604,262.99,52.795,-1.9105,5.1285,2.5289,-0.85542,-0.053679,50.266,21.044,10.663,5.4087,3.1772,2.8449,6.2559,1.6623,12.2,6.148,15.743,4.83,35.739
1.045,1.07,1.0461,-5.0753,-18.559,-21.234,263.9,53.168,-4.7756,9.0926,1.5467,-0.64361,-0.17777,40.976,10.775,9.5833,4.5227,4.1698,1.2362,7.6837,1.3343,13.99,5.3554,18.276,3.43,53.438
1.045,1.07,1.038,-4.6224,-16.916,-19.962,240.29,35.306,-3.2277,6.8255,1.9608,1.7872,-0.37518,46.567,14.914,10.185,6.9177,3.7781,1.9415,4.9412,1.5528,6.9869,6.0742,19.607,4.5134,36.99
1.045,1.07,1.0504,-4.5372,-16.558,-17.882,236.34,46.476,-3.4344,10.029,0.71876,1.4255,0.39318,15.763,12.409,11.636,3.3333,4.2846,1.7733,8.1125,1.4554,16.755,5.0318,17.825,5.6425,27.461
1.045,1.07,1.0442,-4.8404,-17.161,-19.177,251.43,65.082,-5.6356,5.0776,1.5731,-1.1688,-0.74105,31.936,16.284,8.3348,3.358,4.1251,1.8571,3.0352,1.6129,19.696,4.9921,9.4424,4.7931,27.668
1.045,1.07,1.0572,-4.0581,-14.364,-15.542,211.4,40.878,-3.9099,7.991,1.698,2.1695,-0.21461,17.185,11.949,9.1745,4.182,4.1902,1.8744,4.0197,0.95774,18.764,3.9456,6.4545,3.8227,42.517
1.045,1.07,1.0478,-4.1015,-14.043,-15.189,213.21,53.2,-3.8309,6.3603,1.8039,0.12529,2.1861,15.432,19.059,10.528,2.943,4.5598,2.0484,6.6226,1.7597,5.159,8.393,10.746,2.7383,49.612
