V2,V6,V9,Theta2,Theta6,Theta9,P1,P4,Q4,P5,Q5,P7,Q7,P9,Q9,P10,Q10,P11,Q11,P12,Q12,P13,Q13,P14,Q14,LoadMargin
1.045,1.07,1.0412,-4.6339,-16.828,-18.994,241.02,45.958,-4.7816,7.7448,1.6719,0.36424,0.28459,39.754,15.136,4.0599,6.2161,5.0223,1.0738,8.2663,2.1046,11.48,6.3703,14.102,5.867,13.239
1.045,1.07,1.05,-4.03,-14.815,-17.065,210.05,19.723,-2.8451,8.2006,1.0401,1.4865,-1.344,29.294,13.679,14.893,5.2118,2.9444,1.9646,5.7112,1.7452,6.4436,2.7137,20.861,4.543,16.623
1.045,1.07,1.046,-4.0309,-13.574,-14.34,209.59,55.86,-3.2583,8.8461,1.9626,-0.98634,-0.67758,13.965,18.112,6.9928,5.9895,2.796,1.8781,2.1455,1.5564,15.748,5.8732,3.9599,7.27,9.4487
1.045,1.07,1.0484,-4.5306,-15.802,-17.619,235.67,56.158,-5.0144,9.2458,1.152,-0.99159,-0.34459,23.95,9.0538,8.1393,11.037,2.824,1.253,4.8134,1.2581,9.5441,5.6608,18.463,4.4926,13.004
1.045,1.07,1.0479,-3.9806,-14.948,-16.535,207.42,21.862,-2.9611,5.2068,1.273,0.94941,1.8259,26.405,16.4,8.2538,0.46005,3.7279,2.0332,6.9146,1.5362,15.752,5.9752,17.601,6.0846,16.012
1.045,1.07,1.0373,-4.6359,-16.739,-18.811,240.98,50.169,-4.6647,6.8185,1.5209,-1.5947,-0.052522,34.647,20.601,9.8949,4.908,4.1801,2.6188,6.6359,1.4101,11.663,5.4919,14.318,4.7288,7.9807
1.045,1.07,1.0374,-4.7832,-16.921,-19.089,248.55,58.631,-6.1945,7.8586,1.598,1.3544,-1.0453,27.348,21.59,11.206,5.114,3.642,1.8315,4.6666,1.5344,8.4363,7.2228,20.079,2.434,9.2183
1.045,1.07,1.0437,-4.7401,-17.076,-18.949,246.42,55.906,-4.4392,6.9579,1.9716,-0.68963,-1.5732,27.672,13.811,5.8482,6.7511,3.7811,1.7691,5.4391,0.49668,15.91,5.4009,20.101,5.4523,9.6827
1.045,1.07,1.0444,-3.959,-13.702,-15.006,206,41.757,-3.7356,8.3835,1.8948,-0.76145,-0.58568,22.289,18.711,9.3819,5.3677,1.9582,2.497,3.1329,1.8125,12.326,7.2797,7.6492,5.9822,6.3746
1.045,1.07,1.0372,-4.6534,-16.33,-18.341,241.56,60.849,-4.2957,4.9078,2.2585,-0.11088,-0.77305,32.508,18.864,7.8051,8.5271,3.3419,1.4793,6.001,1.6247,9.6306,5.7952,12.409,4.9112,11.912
1.045,1.07,1.0376,-4.5153,-17.233,-19.655,234.93,28.966,-3.8357,3.8799,1.6632,-0.6142,-0.89273,40.378,16.827,6.6315,6.3351,2.9351,1.526,5.4401,2.4035,19.171,7.1548,23.335,3.0376,13.256
1.045,1.07,1.0545,-3.7677,-13.718,-15.069,196.58,19.501,-2.3743,10.584,1.7583,-0.31097,1.3747,27.828,12.2,9.4624,6.1911,4.4805,2.4253,6.7009,1.6728,14.829,4.3089,4.7703,3.2825,4.1214
1.045,1.07,1.0499,-4.2179,-14.07,-15.747,219,62.284,-4.1046,4.2603,1.5817,-2.1915,0.60344,24.783,10.057,10.64,5.4463,2.2816,2.6289,3.5292,1.5448,6.1217,5.508,6.0926,9.7103,12.12
1.045,1.07,1.0348,-5.2652,-19.531,-22.963,273.42,49.365,-4.0189,7.2379,1.3912,-0.015087,0.82479,53.957,10.556,13.878,7.242,1.2825,1.4549,5.0041,1.7738,18.428,5.6686,14.801,6.143,8.0827
1.045,1.07,1.0372,-4.6868,-16.458,-18.829,243.38,57.589,-4.145,5.6613,1.0666,0.79827,-2.1298,37.804,18.878,10.722,6.7089,3.3659,1.3715,3.5601,1.3387,11.316,5.5141,8.1605,6.5907,13.262
1.045,1.07,1.0353,-3.9982,-14.154,-16.027,207.87,34.977,-5.1809,5.0823,1.7874,1.1882,0.89587,33.996,21.987,6.6387,5.6818,1.6195,1.7769,3.4024,1.4746,10.197,8.2993,10.448,7.4704,9.859
